table,row_locator,source_logical_locator,ownership,action,confidence,physical_locator_used,permission_name,permission_policy_basis
audit_log,"{""id"": 150}","{""id"": 150}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 151}","{""id"": 151}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 152}","{""id"": 152}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 153}","{""id"": 153}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 154}","{""id"": 154}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 155}","{""id"": 155}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 156}","{""id"": 156}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 157}","{""id"": 157}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 158}","{""id"": 158}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 159}","{""id"": 159}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 160}","{""id"": 160}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 161}","{""id"": 161}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 162}","{""id"": 162}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 163}","{""id"": 163}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 164}","{""id"": 164}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 165}","{""id"": 165}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 166}","{""id"": 166}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 167}","{""id"": 167}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 168}","{""id"": 168}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 169}","{""id"": 169}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 170}","{""id"": 170}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 171}","{""id"": 171}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 172}","{""id"": 172}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 173}","{""id"": 173}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 174}","{""id"": 174}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 175}","{""id"": 175}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
